일자,노출(impression),다운로드,가입,온보딩완료,푸시동의,첫일기작성,첫학습완료(Activation),DAU,MAU,페이월노출,페이월클릭,1년결제,6개월결제,1개월결제,재결제,총결제,매출(원),신규광고비(원),자기보고_PAID(%),자기보고_지인추천(%),자기보고_SNS(%),자기보고_기타(%)
26.05.20,,,,,,,,150,1500,,,,,,,,0,,,,
26.05.21,,,,,,,,,,,,,,,,,,,,,
26.05.22,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
=== 곱셈 공식 ===,,,,,,,,,,,,,,,,,,,,,
공식,노출 × 다운로드CVR × 가입CVR × 온보딩완료율 × Activation율 × 결제CVR × 평균플랜단가 = 매출,,,,,,,,,,,,,,,,,,,,
재구매 공식,× 재구매율 = MRR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
=== 파생 지표 ===,공식,현재값,목표(27),목표(28),비고,,,,,,,,,,,,,,,,
가입CVR,가입/다운로드,?,—,—,누락 지표,,,,,,,,,,,,,,,,
온보딩완료율,온보딩완료/가입,?,—,—,누락 지표,,,,,,,,,,,,,,,,
알림동의율,푸시동의/온보딩완료,?,—,—,D1 리텐션 +27%p 선행지표,,,,,,,,,,,,,,,,
Activation율,첫학습완료/온보딩완료,?,—,—,NorthStar 후보,,,,,,,,,,,,,,,,
D1 접속 리텐션,D+1접속/D0가입,30%,40%,50%,사업계획서 p.17,,,,,,,,,,,,,,,,
D1 완료 리텐션,D+1학습완료/D0,39%,50%,65%,사업계획서 p.17,,,,,,,,,,,,,,,,
D7 리텐션,D+7접속/D0,14%,22%,35%,사업계획서 p.17,,,,,,,,,,,,,,,,
D30 부활률,부활/이탈,2%,3%,5%,사업계획서 p.17,,,,,,,,,,,,,,,,
페이월 클릭CVR,페이월클릭/페이월노출,?,—,—,누락 지표,,,,,,,,,,,,,,,,
결제전환율,첫구매/가입,1.80%,3.50%,4.50%,사업계획서 p.16,,,,,,,,,,,,,,,,
평균 플랜 단가,Σ(플랜가)/결제건수,?,—,—,ARPPU 분해 핵심,,,,,,,,,,,,,,,,
재구매율,재구매/첫구매,20%,30%,40%,사업계획서 p.16,,,,,,,,,,,,,,,,
ARPPU,매출/결제자,55292,—,—,사업계획서 p.14,,,,,,,,,,,,,,,,
ARPU,매출/전체유저,1887,—,—,사업계획서 p.14,,,,,,,,,,,,,,,,
CPI,광고비/설치,529,450,350,사업계획서 p.16,,,,,,,,,,,,,,,,
CAC,CPI/결제CVR/(1+K),18623,16000,15600,사업계획서 p.16,,,,,,,,,,,,,,,,
LTV,ARPPU/(1-재구매율),88020,110000,183000,사업계획서 p.16,,,,,,,,,,,,,,,,
LTV/CAC,LTV/CAC,4.73,6.9,12.5,2027 Q2 BEP 조건,,,,,,,,,,,,,,,,
K-factor(바이럴),추천유입/활성유저,0.31,0.30,0.45,사업계획서 p.11,,,,,,,,,,,,,,,,
MRR(원),구독자수×ARPPU,1070000,15900000,112000000,사업계획서 p.17,,,,,,,,,,,,,,,,
